scenario,threshold_percentile,simulation_objective,tps_proxy,simulated_outcome_utility,zip_fallback_rate,zip_continuity_rate,workload_gini,unassigned_rate,travel_proxy,scenario_best_objective,scenario_threshold_regret,selection_simulation_objective,selection_tps_proxy,selection_simulated_outcome_utility,selection_zip_fallback_rate,selection_zip_continuity_rate,selection_workload_gini,selection_unassigned_rate,selection_travel_proxy,selection_scenario_best_objective,selection_scenario_threshold_regret,held_out_simulation_objective,held_out_scenario_best_objective,held_out_scenario_threshold_regret,threshold_evaluation_role
F,0.25,0.4644877523567434,55.443433424903844,0.5550025150353182,0.032692307692307694,0.7115228536670142,0.3109806659607204,0.15375,16.575536040145984,0.47861668480700237,0.01412893245025898,0.4644877523567434,55.443433424903844,0.5550025150353182,0.032692307692307694,0.7115228536670142,0.3109806659607204,0.15375,16.575536040145984,0.47861668480700237,0.01412893245025898,,,,in_sample_sensitivity_only_no_recommendation
F,0.75,0.47861668480700237,56.7775571090513,0.5683437518767926,0.054811507936507936,0.8754029805352798,0.3137238368724959,0.15375,15.678113594890512,0.47861668480700237,0.0,0.47861668480700237,56.7775571090513,0.5683437518767926,0.054811507936507936,0.8754029805352798,0.3137238368724959,0.15375,15.678113594890512,0.47861668480700237,0.0,,,,in_sample_sensitivity_only_no_recommendation
G,0.25,0.4246035190790292,51.42944436707407,0.5148626244570204,0.0641025641025641,0.5389707160236358,0.31448288080014447,0.15375,16.1797901459854,0.43372443679054007,0.009120917711510856,0.4246035190790292,51.42944436707407,0.5148626244570204,0.0641025641025641,0.5389707160236358,0.31448288080014447,0.15375,16.1797901459854,0.43372443679054007,0.009120917711510856,,,,in_sample_sensitivity_only_no_recommendation
G,0.75,0.43372443679054007,52.16305443574249,0.5221987251437046,0.10168650793650794,0.7910814216197428,0.3146582222545557,0.15375,14.387959462982273,0.43372443679054007,0.0,0.43372443679054007,52.16305443574249,0.5221987251437046,0.10168650793650794,0.7910814216197428,0.3146582222545557,0.15375,14.387959462982273,0.43372443679054007,0.0,,,,in_sample_sensitivity_only_no_recommendation
H,0.25,0.22653639953145335,39.96075200898393,0.40017104977458234,0.05064102564102564,0.714407102103608,0.30046815152796646,0.36250000000000004,16.61592418201033,0.23015052798006339,0.0036141284486100322,0.22653639953145335,39.96075200898393,0.40017104977458234,0.05064102564102564,0.714407102103608,0.30046815152796646,0.36250000000000004,16.61592418201033,0.23015052798006339,0.0036141284486100322,,,,in_sample_sensitivity_only_no_recommendation
H,0.75,0.23015052798006339,40.25668950898393,0.4031304247745824,0.06522817460317461,0.8576874857744282,0.30046815152796646,0.36250000000000004,15.961170733400296,0.23015052798006339,0.0,0.23015052798006339,40.25668950898393,0.4031304247745824,0.06522817460317461,0.8576874857744282,0.30046815152796646,0.36250000000000004,15.961170733400296,0.23015052798006339,0.0,,,,in_sample_sensitivity_only_no_recommendation
