scenario,threshold_percentile,simulation_objective,tps_proxy,simulated_outcome_utility,zip_fallback_rate,zip_continuity_rate,workload_gini,unassigned_rate,travel_proxy,scenario_best_objective,scenario_threshold_regret,selection_simulation_objective,selection_tps_proxy,selection_simulated_outcome_utility,selection_zip_fallback_rate,selection_zip_continuity_rate,selection_workload_gini,selection_unassigned_rate,selection_travel_proxy,selection_scenario_best_objective,selection_scenario_threshold_regret,held_out_simulation_objective,held_out_tps_proxy,held_out_simulated_outcome_utility,held_out_zip_fallback_rate,held_out_zip_continuity_rate,held_out_workload_gini,held_out_unassigned_rate,held_out_travel_proxy,held_out_scenario_best_objective,held_out_scenario_threshold_regret,threshold_evaluation_role
A,0.0,0.5694395365233232,60.38133727644592,0.6052498028463473,0.0,0.7590034364261169,0.3142418384879725,0.015000000000000013,17.240592783505154,0.5763914786978552,0.006951942174531989,0.5822378932986118,61.056566538575844,0.6114517821875006,0.0,0.8066666666666666,0.3109722222222222,0.0,16.775,0.5873447570292677,0.005106863730655942,0.5566411797480347,59.70610801431599,0.5990478235051939,0.0,0.711340206185567,0.3175114547537228,0.030000000000000027,17.70618556701031,0.5654382003664427,0.008797020618407925,candidate_threshold_optimization
A,0.01,0.5695637985465581,60.395523215310064,0.6053916622349889,0.0,0.7623367697594502,0.31431128293241695,0.015000000000000013,17.25541237113402,0.5763914786978552,0.006827680151297089,0.5827160565203393,61.09243841630414,0.6118105009647837,0.0,0.8133333333333334,0.3111111111111111,0.0,16.65,0.5873447570292677,0.004628700508928385,0.556411540572777,59.69860801431598,0.5989728235051939,0.0,0.711340206185567,0.3175114547537228,0.030000000000000027,17.86082474226804,0.5654382003664427,0.009026659793665681,candidate_threshold_optimization
A,0.02,0.5697637985465581,60.40552321531007,0.6054916622349888,0.0,0.7640034364261168,0.31431128293241695,0.015000000000000013,17.15541237113402,0.5763914786978552,0.006627680151297111,0.5831160565203393,61.11243841630415,0.6120105009647837,0.0,0.8166666666666667,0.3111111111111111,0.0,16.45,0.5873447570292677,0.004228700508928429,0.556411540572777,59.69860801431598,0.5989728235051939,0.0,0.711340206185567,0.3175114547537228,0.030000000000000027,17.86082474226804,0.5654382003664427,0.009026659793665681,candidate_threshold_optimization
A,0.03,0.5699682112718807,60.42442095977817,0.6056806396796699,0.0,0.7707216494845361,0.3139640607101948,0.015000000000000013,17.153865979381443,0.5763914786978552,0.006423267425974544,0.5832717891874792,61.13523390524035,0.6122384558541458,0.0,0.8266666666666667,0.3104166666666668,0.0,16.55,0.5873447570292677,0.004072967841788455,0.5566646333562822,59.71360801431599,0.599122823505194,0.0,0.7147766323024055,0.3175114547537228,0.030000000000000027,17.757731958762886,0.5654382003664427,0.00877356701016041,candidate_threshold_optimization
A,0.04,0.5699330308595096,60.41317095977817,0.6055681396796699,0.0,0.7655670103092784,0.3139640607101948,0.015000000000000013,17.07654639175258,0.5763914786978552,0.0064584478383455934,0.5832717891874792,61.13523390524035,0.6122384558541458,0.0,0.8266666666666667,0.3104166666666668,0.0,16.55,0.5873447570292677,0.004072967841788455,0.5565942725315399,59.69110801431599,0.5988978235051939,0.0,0.7044673539518901,0.3175114547537228,0.030000000000000027,17.603092783505154,0.5654382003664427,0.008843927834902732,candidate_threshold_optimization
A,0.05,0.5699330308595096,60.41317095977817,0.6055681396796699,0.0,0.7655670103092784,0.3139640607101948,0.015000000000000013,17.07654639175258,0.5763914786978552,0.0064584478383455934,0.5832717891874792,61.13523390524035,0.6122384558541458,0.0,0.8266666666666667,0.3104166666666668,0.0,16.55,0.5873447570292677,0.004072967841788455,0.5565942725315399,59.69110801431599,0.5988978235051939,0.0,0.7044673539518901,0.3175114547537228,0.030000000000000027,17.603092783505154,0.5654382003664427,0.008843927834902732,candidate_threshold_optimization
A,0.06,0.5700351376942439,60.43725478185412,0.6058089779004294,0.0,0.7756701030927835,0.31403350515463924,0.015000000000000013,17.2125,0.5763914786978552,0.0063563410036113765,0.5831229100734426,61.15840154939225,0.6124701322956648,0.0,0.84,0.3105555555555557,0.0,16.925,0.5873447570292677,0.004221846955825059,0.5569473653150451,59.716108014315985,0.5991478235051939,0.0,0.711340206185567,0.3175114547537228,0.030000000000000027,17.5,0.5654382003664427,0.008490835051397583,candidate_threshold_optimization
A,0.07,0.5701343644983675,60.43725478185412,0.6058089779004294,0.0,0.7740549828178694,0.31403350515463924,0.015000000000000013,17.11327319587629,0.5763914786978552,0.006257114199487712,0.5832979100734426,61.15090154939226,0.6123951322956648,0.0,0.8333333333333334,0.3105555555555557,0.0,16.675,0.5873447570292677,0.004046846955825134,0.5569708189232925,59.72360801431598,0.599222823505194,0.0,0.7147766323024055,0.3175114547537228,0.030000000000000027,17.551546391752577,0.5654382003664427,0.00846738144315018,candidate_threshold_optimization
A,0.08,0.5699040572860983,60.430976637946785,0.605746196461356,0.0,0.7774914089347079,0.31403350515463924,0.015000000000000013,17.280798969072166,0.5763914786978552,0.006487421411756955,0.5832979100734426,61.15090154939226,0.6123951322956648,0.0,0.8333333333333334,0.3105555555555557,0.0,16.675,0.5873447570292677,0.004046846955825134,0.556510204498754,59.71105172650131,0.5990972606270472,0.0,0.7216494845360825,0.3175114547537228,0.030000000000000027,17.88659793814433,0.5654382003664427,0.008927995867688665,candidate_threshold_optimization
A,0.09,0.5699822952244465,60.454217098448275,0.6059786010663709,0.0,0.7842611683848797,0.31570017182130583,0.015000000000000013,17.368298969072164,0.5763914786978552,0.006409183473408686,0.583123306086018,61.164274483983135,0.6125288616415736,0.0,0.84,0.3138888888888889,0.0,16.85,0.5873447570292677,0.0042214509432496605,0.556841284362875,59.744159712913415,0.5994283404911682,0.0,0.7285223367697594,0.3175114547537228,0.030000000000000027,17.88659793814433,0.5654382003664427,0.0085969160035676,candidate_threshold_optimization
