scenario,scenario_description,seed,policy,policy_name,threshold_percentile,n_patients,n_service_needs,assigned_count,unassigned_rate,tps_proxy,simulated_outcome_utility,expected_outcome_utility,scenario_oracle_utility,high_risk_full_pool_share,zip_fallback_rate,zip_continuity_rate,workload_spread,workload_gini,new_assignment_workload_gini,max_overload,mean_utilization,travel_proxy,top_tier_access_rate,fairness_gap_age_group,fairness_gap_zip,fairness_gap_area_type,fairness_gap_housing_type,fairness_gap_house_price_group,fairness_gap_clinical_need_decile,assignment_signature,threshold_rerun_id,rerun_design_fingerprint,common_random_numbers,capacity_constraints_enforced,availability_constraints_enforced,discipline_constraints_enforced,ot_deterministic_rotation_preserved,cms_model,performance_year,payment_year,measure_set_version,cms_version_locked,threshold_source,risk_reference_id,risk_reference_config_hash,risk_reference_sample_size,threshold_raw_equivalent,risk_percentile_semantics,public_data_only,synthetic_data,production_validated,metric_performance_DFS,metric_performance_Dyspnea,metric_performance_Oral_Meds,metric_performance_DTC,metric_performance_PPH,metric_performance_Care_of_Patients,metric_performance_Communications,metric_performance_Care_Issues,metric_performance_Agency_Rating,metric_performance_Recommend,config_hash,design_label,capacity_ratio,zip_sparsity,roster_RN,roster_PT,roster_OT,best_included_policy_utility,regret_vs_best_included_policy,regret_vs_scenario_oracle,oracle_regret_available,regret_reference,roster_scale
A,additive clinician-quality effect,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,60.843808150403945,0.6099977657375101,0.6100483606629621,0.6505867191659896,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.05364020734832564,0.07076720664643055,0.05065187970568408,0.013293926563834657,0.04162893737598672,0.15339535672308435,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,ed35547f7de50cca,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.6015407984155072,0.6029842264961686,0.6047879596279992,0.6073761664867297,0.39070606750039755,0.6109227509467666,0.6132076891973037,0.6146053452412913,0.6166238872639008,0.618634901199832,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6100483606629621,0.0,0.04053835850302756,True,unconstrained_latent_information_upper_bound,1.0
B,positive high-risk by clinician-quality complementarity,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,62.149671569596244,0.623056399929433,0.6231069948548851,0.6646756597960095,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.0376132734178698,0.04888246031452548,0.03340661252106947,0.008417497553231512,0.030026084038004552,0.10357018756757352,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,2e35e588967c42fc,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.6145994326074302,0.6160428606880914,0.6178465938199221,0.6204348006786526,0.3776474333084745,0.6239813851386896,0.6262663233892269,0.6276639794332143,0.6296825214558237,0.6316935353917552,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6231069948548851,0.0,0.041568664941124434,True,unconstrained_latent_information_upper_bound,1.0
C,diminishing returns / negative interaction,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,58.5050503146611,0.5866101873800819,0.5866607823055336,0.6194350879417984,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.07582743219081933,0.09807513553240421,0.07277543950944132,0.019841660977063635,0.056639860139850895,0.22185537105920033,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,dcf8461a84e1bc07,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.5781532200580788,0.5795966481387401,0.5814003812705707,0.5839885881293012,0.41409364585782593,0.5875351725893382,0.5898201108398755,0.5912177668838628,0.5932363089064723,0.5952473228424038,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.5866607823055336,0.0,0.03277430563626471,True,unconstrained_latent_information_upper_bound,1.0
D,no true clinician or routing causal effect,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,55.549631866380025,0.557056002897271,0.557106597822723,0.5608447407172974,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.07094300550914412,0.0812953766729193,0.06232208262085248,0.018158786208043676,0.048855290621030445,0.19667536774300454,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,1c70a2cd01134633,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.5485990355752679,0.5500424636559295,0.55184619678776,0.5544344036464904,0.44364783034063676,0.5579809881065274,0.5602659263570646,0.5616635824010521,0.5636821244236615,0.565693138359593,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.557106597822723,0.0,0.0037381428945744144,True,unconstrained_latent_information_upper_bound,1.0
E,no ZIP-continuity benefit,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,57.65258763736425,0.5780855606071132,0.578136155532565,0.6139662697595428,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.05430642482644443,0.06976245815057314,0.05083683497665814,0.013793356433023596,0.041022526531060644,0.15411484098845868,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,26f9de1ff25af5c5,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.5696285932851102,0.5710720213657715,0.5728757544976022,0.5754639613563326,0.42261827263079454,0.5790105458163695,0.5812954840669069,0.5826931401108943,0.5847116821335038,0.5867226960694352,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.578136155532565,0.0,0.035830114226977794,True,unconstrained_latent_information_upper_bound,1.0
F,positive ZIP-continuity benefit,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,66.11678763736425,0.6627275606071131,0.6627781555325651,0.703405638227246,0.2054,0.011745951841597449,0.9472235278318674,0.6806745396090949,0.30781579293993677,0.3075619978065758,0.0,0.9625193459308533,17.235110454575974,0.25918216611831063,0.058535491193274725,0.07789189899085747,0.05499852454994736,0.013959707801161292,0.04615786046189496,0.16796921740517023,50e74614670c0cc81d39c3a7052f8c937c5fd822f126d1fd02ca5f7f1518f7ad,f97b306c7af67907,3023fb391505beda4bb59c15ce8bf13f2bd16e7310ec4892e76b980a03334710,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.6542705932851103,0.6557140213657716,0.6575177544976022,0.6601059613563327,0.3379762726307946,0.6636525458163696,0.6659374840669068,0.6673351401108942,0.6693536821335038,0.6713646960694352,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6627781555325651,0.0,0.04062748269468086,True,unconstrained_latent_information_upper_bound,1.0
G,sparse ZIP coverage,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,60.11644517202485,0.6027241359537192,0.6027747308791711,0.6390458070594959,0.2054,0.13558184411443913,0.7503525146041765,0.6825228174653758,0.30779384000702503,0.3072514492267062,0.0,0.9597516718228191,12.908749076747466,0.2573020882293695,0.06169538430771915,0.0707253152838595,0.052086446167246,0.01579473329197878,0.037138235488245464,0.1759782428413743,46c1627dfa56c67743b954b6f35caef522585a48c2c545fe54257db0c032ea5e,a022ed5684f1477f,958d2e2df3f3b0df094c85e0ab89342830daca19674fd11c7019a5dfed4b57dc,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.5942671686317161,0.5957105967123776,0.5975143298442083,0.6001025367029387,0.3979796972841885,0.6036491211629755,0.6059340594135127,0.6073317154575003,0.6093502574801098,0.6113612714160411,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6027747308791711,0.0,0.03627107618032477,True,unconstrained_latent_information_upper_bound,1.0
H,clinician capacity shortage,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,10346,0.3102666666666667,42.91435950197433,0.4306140541718599,0.42949810955277523,0.6434056382272461,0.2054,0.012668848057722963,0.9435530639860816,0.6933868167425934,0.3070064072140486,0.3061126683420323,0.0,0.9791666666666666,17.26657645466847,0.2620336361878987,0.0476582604321098,0.03902951581856534,0.020465205220917326,0.0037750152323327013,0.023840862074523295,0.08828082530904785,c42efb5a3a0f9a270b56a7debeaa6bdab56f4042cf436a47aca2564485573176,319b7a923947be91,d5d8091d6078bad124fc5326bee3fa6dfe5243b7b18e076ea16b33718b9bc913,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.4227397645874665,0.42406818551587816,0.4257011477229306,0.42819813991777106,0.570126915774195,0.4313914586122905,0.4336264510912618,0.43488563002397534,0.4369034287643611,0.4387532512568591,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.42949810955277523,0.0,0.21390752867447083,True,unconstrained_latent_information_upper_bound,1.0
I,high clinician-score uncertainty,0,P4,threshold_hard_zip_sponsor_policy,0.75,5000,15000,14893,0.007133333333333325,60.49409846455611,0.6065006688790319,0.6065512638044837,0.6434056382272461,0.2054,0.010319657689403473,0.9470220909151951,0.6793709194275536,0.3054805497014401,0.3056035833389288,0.0,0.9659932740186715,17.157557241657155,0.2675082253407641,0.06287764547850405,0.07869401394370801,0.058683776498251405,0.015560366754759247,0.04603954254713072,0.17255583137683017,fcf1ccb970fe0f3e02f2640c8ec180af247a932de87f5046bfcc571e29004afd,aaf65c724daf4950,3e4850d421585fb6da167ac3a40d994f41d8c48765b3aaae35d3d2331243b06a,True,True,True,True,True,Expanded HHVBP,2025,2027,CY2025,True,public_only_semi_synthetic_capacity_pilot_not_outcome_validated,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7,3e8af15c2120cedd72f05b7b33402c6efb6bc20946872df2b2c8592affe4e91b,10000,0.5696213523887566,persisted_reference_ecdf,True,True,False,0.5980437015570288,0.5994871296376901,0.6012908627695209,0.6038790696282512,0.3942031643588759,0.6074256540882882,0.6097105923388255,0.6111082483828129,0.6131267904054223,0.6151378043413538,5512291c63481023995301a5bd3e51c2220248d3558a16e3478f34f5c9a29ae6,design_001_roster_1_capacity_1.05_zip_0.25,1.05,0.25,24,18,6,0.6065512638044837,0.0,0.036854374422762404,True,unconstrained_latent_information_upper_bound,1.0
