profile_id,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,need_mean_PPH,weighted_need_mean_PPH,need_mean_DTC,weighted_need_mean_DTC,need_mean_DFS,weighted_need_mean_DFS,need_mean_Oral_Meds,weighted_need_mean_Oral_Meds,need_mean_Dyspnea,weighted_need_mean_Dyspnea,need_mean_Recommend,weighted_need_mean_Recommend,need_mean_Agency_Rating,weighted_need_mean_Agency_Rating,need_mean_Care_Issues,weighted_need_mean_Care_Issues,need_mean_Communications,weighted_need_mean_Communications,need_mean_Care_of_Patients,weighted_need_mean_Care_of_Patients,rho_raw,risk_percentile_u,threshold_percentile,threshold_route
profile_0001,healthy,age_80_plus,high,micropolitan,single_home,near,good_summer,0.19451946772750678,0.05057506160915176,0.17493082020316042,0.015743773818284436,0.17959998392682458,0.035919996785364915,0.21811363466840858,0.01963022712015677,0.15468680776186913,0.009281208465712147,0.08914201223269236,0.0053485207339615416,0.10707988356430093,0.006424793013858055,0.1847011513427531,0.011082069080565186,0.16720964974091382,0.010032578984454829,0.1432702546268243,0.008596215277609457,0.17263444488911914,0.032553255325532555,0.75,lower_risk_zip_policy
profile_0002,healthy,age_80_plus,high,micropolitan,single_home,near,bad_winter,0.25567495072304103,0.06647548718799066,0.2350465015088042,0.02115418513579238,0.24606795433402198,0.0492135908668044,0.253782742242378,0.022840446801814022,0.2660613093504164,0.015963678561024982,0.2050216790785263,0.012301300744711578,0.15115921973217114,0.009069553183930268,0.2278946498496544,0.013673678990979264,0.21164264429432914,0.012698558657659748,0.27221348379096755,0.016332809027458053,0.23972328915816538,0.0905644516658361,0.75,lower_risk_zip_policy
profile_0003,healthy,age_80_plus,high,micropolitan,single_home,medium,good_summer,0.24123546168242876,0.06272122003743148,0.21891342642566833,0.01970220837831015,0.22021929917566782,0.044043859835133564,0.24564768262024533,0.02210829143582208,0.2750393821511276,0.016502362929067656,0.2118833801888089,0.012713002811328533,0.2084451388889453,0.012506708333336718,0.20970791363622276,0.012582474818173366,0.1943631464124464,0.011661788784746784,0.23782862268052818,0.01426971736083169,0.228811634724182,0.07885788578857886,0.75,lower_risk_zip_policy
profile_0004,healthy,age_80_plus,high,micropolitan,single_home,medium,bad_winter,0.30239094467796285,0.07862164561627034,0.2790291077313121,0.02511261969581809,0.28668726958286345,0.05733745391657269,0.28131679019421474,0.025318511117479327,0.38641388373967267,0.02318483302438036,0.3277630470346461,0.019665782822078766,0.2525244750568155,0.01515146850340893,0.25290141214312406,0.015174084728587443,0.23879614096585813,0.014327768457951487,0.366771851844675,0.022006311110680497,0.2959004789932279,0.17176717671767178,0.75,lower_risk_zip_policy
profile_0005,healthy,age_80_plus,high,micropolitan,single_home,far,good_summer,0.2879514556373506,0.07486737846571115,0.2628960326481779,0.02366064293833601,0.2608386144245093,0.05216772288490186,0.27318173057208023,0.02458635575148722,0.39539195654038384,0.02372351739242303,0.3346247481449287,0.02007748488869572,0.3098103942135865,0.01858862365281519,0.23471467592969242,0.014082880555781545,0.2215166430839754,0.013290998585038523,0.3323869907342356,0.019943219444054135,0.28498882455924435,0.15074711901804627,0.75,lower_risk_zip_policy
profile_0006,healthy,age_80_plus,high,micropolitan,single_home,far,bad_winter,0.34910693863288444,0.09076780404454995,0.3230117139538217,0.029071054255843953,0.3273065848317067,0.06546131696634135,0.3088508381460515,0.027796575433144635,0.506766458128929,0.030405987487735736,0.45050441499076266,0.02703026489944576,0.35388973038145993,0.021233383822887596,0.2779081744365906,0.016674490466195437,0.2659496376373907,0.01595697825824344,0.4613302198983789,0.027679813193902735,0.35207766882829056,0.2845123895979473,0.75,lower_risk_zip_policy
profile_0007,healthy,age_80_plus,high,micropolitan,apartment,near,good_summer,0.258223095847855,0.0671380049204423,0.24815787537671982,0.022334208783904783,0.24883745310098734,0.049767490620197474,0.28354772506892895,0.025519295256203604,0.1882787465793429,0.011296724794760574,0.14262721957230515,0.008557633174338308,0.14381266370419488,0.008628759822251692,0.22164138161130376,0.013298482896678225,0.24245399212432558,0.014547239527459534,0.17332672212466377,0.010399603327479825,0.23148744312371636,0.081008100810081,0.75,lower_risk_zip_policy
profile_0008,healthy,age_80_plus,high,micropolitan,apartment,near,bad_winter,0.3193785788433889,0.08303843049928111,0.3082735566823636,0.027744620101412723,0.31530542350818475,0.06306108470163695,0.3192168326429002,0.028729514937861016,0.2996532481678902,0.01797919489007341,0.2585068864181391,0.015510413185088346,0.1878919998720651,0.011273519992323905,0.26483488011820505,0.015890092807092304,0.2868869866777409,0.017213219200664452,0.30226995128881057,0.018136197077328633,0.29857628739276276,0.17607629275581882,0.75,lower_risk_zip_policy
profile_0009,healthy,age_80_plus,high,micropolitan,apartment,medium,good_summer,0.3049390898027768,0.07928416334872197,0.29214048159922773,0.026292643343930496,0.2894567683498306,0.05789135366996612,0.31108177302076756,0.02799735957186908,0.30863132096860135,0.01851787925811608,0.26536858752842496,0.015922115251705497,0.24517791902883612,0.014710675141730167,0.2466481439047734,0.014798888634286404,0.26960748879585456,0.016176449327751273,0.2678850901783712,0.01607310541070227,0.2876646329587793,0.15500282567514173,0.75,lower_risk_zip_policy
profile_0010,healthy,age_80_plus,high,micropolitan,apartment,medium,bad_winter,0.3660945727983107,0.09518458892756079,0.35225616290487155,0.03170305466143844,0.35592473875702624,0.07118494775140526,0.34675088059473697,0.031207579253526324,0.42000582255714647,0.025200349353428787,0.3812482543742589,0.022874895262455532,0.2892572551967095,0.01735543531180257,0.2898416424116716,0.017390498544700296,0.31404048334926987,0.01884242900095619,0.3968283193425145,0.023809699160550868,0.354753477227825,0.2913291329132913,0.75,lower_risk_zip_policy
