analysis_type,scenario_id,profiling_zip,patient_zip_for_assignment_routing,assignment_zip_routing_applied,scenario_source_mode,distance_from_configured_office_miles,health_status,age_group,house_price_zip,area_type,housing_type,distance_to_clinic,driving_condition,metric_key,metric_display_name,metric_direction,metric_weight,display_mean,display_sd,display_q10,display_q50,display_q90,best_display_mean,worst_display_mean,metric_need_mean,risk_score_rho_raw,risk_percentile_u,threshold_percentile,risk_threshold_classification,public_data_only,expert_configured,semi_synthetic,simulation_based,outcome_validated,points_from_best,points_from_worst,distance_from_best_label,distance_from_worst_label,relative_to_anchor_language
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,PPH,Potentially Preventable Hospitalization (PPH),lower_is_better,0.26,9.323827854433143,1.1697266261612251,7.82476286541702,9.323827854433143,10.822892843449265,6.7639941378592665,16.236005862140736,0.27025238049608313,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.559833716573876,6.912178007707594,points_above_best,points_below_worst,9.32% is 2.56 points above best and 6.91 points below worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,DTC,Discharge to Community–Post Acute Care (DTC-PAC),higher_is_better,0.09,75.91938635161414,1.1747240487216153,74.41391690789206,75.91938635161414,77.42485579533621,78.20719647496098,69.79280352503902,0.2718924748300544,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.287810123346844,6.126582826575117,points_below_best,points_above_worst,75.92% is 2.29 points below best and 6.13 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,DFS,Discharge Function Score (DFS/DC Function),higher_is_better,0.2,77.43690281620651,1.1822564008065857,75.9217802748777,77.43690281620651,78.9520253575353,79.61656533329264,71.58343466670735,0.27133412956329456,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.179662517086129,5.8534681494991645,points_below_best,points_above_worst,77.44% is 2.18 points below best and 5.85 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Oral_Meds,Improvement in Management of Oral Medications,higher_is_better,0.09,89.6560243457701,1.4136301124612667,87.84438446204439,89.6560243457701,91.46766422949584,91.91507202821043,84.28492797178956,0.29606881151074793,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,2.2590476824403254,5.371096373980549,points_below_best,points_above_worst,89.66% is 2.26 points below best and 5.37 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Dyspnea,Improvement in Dyspnea,higher_is_better,0.06,93.53305157999827,1.3281193370108504,91.83099816442196,93.53305157999827,95.23510499557459,94.94666692718015,88.45333307281986,0.21770255139932915,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.4136153471818744,5.079718507178413,points_below_best,points_above_worst,93.53% is 1.41 points below best and 5.08 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Recommend,Willingness to Recommend,higher_is_better,0.06,81.23496480242598,1.275166249768181,79.60077349870592,81.23496480242598,82.86915610614602,82.17282906153739,77.82717093846263,0.21581639248874565,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,0.9378642591114073,3.4077938639633487,points_below_best,points_above_worst,81.23% is 0.94 points below best and 3.41 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Agency_Rating,Overall / Agency Rating,higher_is_better,0.06,87.46234553254739,1.3504772730974182,85.73163926897699,87.46234553254739,89.1930517961178,88.65301358499646,84.14698641500355,0.2642389864797341,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.1906680524490696,3.315359117543835,points_below_best,points_above_worst,87.46% is 1.19 points below best and 3.32 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Care_Issues,Specific Care Issues,higher_is_better,0.06,86.37413265129818,1.452870900237469,84.51220367456467,86.37413265129818,88.2360616280317,87.80551847593341,83.19448152406659,0.3104260147071079,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.4313858246352282,3.179651127231594,points_below_best,points_above_worst,86.37% is 1.43 points below best and 3.18 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Communications,Communications Between Providers and Patients,higher_is_better,0.06,88.81248410113365,1.3751459987571708,87.050163593574,88.81248410113365,90.5748046086933,89.99100274912888,86.00899725087112,0.29596108004141813,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,1.178518647995233,2.80348685026253,points_below_best,points_above_worst,88.81% is 1.18 points below best and 2.80 points above worst.
reno_age_sensitivity,reno_age_sensitivity_age_50_60,89501,,False,expert_configured_age_sensitivity,0.0,moderate,age_50_60,average,metropolitan,single_home,near,good_summer,Care_of_Patients,Care of Patients,higher_is_better,0.06,91.26735117522485,1.3710329914773267,89.51030169858379,91.26735117522485,93.02440065186592,92.21028390675734,88.18971609324268,0.23452725467356575,0.26796929739970676,0.1239123912391416,0.75,at_or_below_pilot_threshold,True,True,True,True,False,0.942932731532494,3.077635081982166,points_below_best,points_above_worst,91.27% is 0.94 points below best and 3.08 points above worst.
